hour,value
2351,7.384685298795728e-05
2352,7.384685298795728e-05
2353,7.384685298795728e-05
2354,7.384685298795728e-05
2355,7.384685298795728e-05
2356,7.384685298795728e-05
2357,7.384685298795728e-05
2358,7.384685298795728e-05
2359,7.384685298795728e-05
2360,7.384685298795728e-05
2361,7.384685298795728e-05
2362,7.384685298795728e-05
2363,7.384685298795728e-05
2364,7.384685298795728e-05
2365,7.384685298795728e-05
2366,7.384685298795728e-05
2367,7.384685298795728e-05
2368,7.384685298795728e-05
2369,7.384685298795728e-05
2370,7.384685298795728e-05
2371,7.384685298795728e-05
2372,7.384685298795728e-05
2373,7.384685298795728e-05
2374,7.384685298795728e-05
2375,7.384685298795728e-05
2376,7.384685298795728e-05
2377,7.384685298795728e-05
2378,7.384685298795728e-05
2379,7.384685298795728e-05
2380,7.384685298795728e-05
2381,7.384685298795728e-05
2382,7.384685298795728e-05
2383,7.384685298795728e-05
2384,7.384685298795728e-05
2385,7.384685298795728e-05
2386,7.384685298795728e-05
2387,7.384685298795728e-05
2388,7.384685298795728e-05
2389,7.384685298795728e-05
2390,7.384685298795728e-05
2391,7.384685298795728e-05
2392,7.384685298795728e-05
2393,7.384685298795728e-05
2394,7.384685298795728e-05
2395,7.384685298795728e-05
2396,7.384685298795728e-05
2397,7.384685298795728e-05
2398,7.384685298795728e-05
2399,7.384685298795728e-05
2400,7.384685298795728e-05
2401,7.384685298795728e-05
2402,7.384685298795728e-05
2403,7.384685298795728e-05
2404,7.384685298795728e-05
2405,7.384685298795728e-05
2406,7.384685298795728e-05
2407,7.384685298795728e-05
2408,7.384685298795728e-05
2409,7.384685298795728e-05
2410,7.384685298795728e-05
2411,7.384685298795728e-05
2412,7.384685298795728e-05
2413,7.384685298795728e-05
2414,7.384685298795728e-05
2415,7.384685298795728e-05
2416,7.384685298795728e-05
2417,7.384685298795728e-05
2418,7.384685298795728e-05
2419,7.384685298795728e-05
2420,7.384685298795728e-05
2421,7.384685298795728e-05
2422,7.384685298795728e-05
2423,7.384685298795728e-05
2424,7.384685298795728e-05
2425,7.384685298795728e-05
2426,7.384685298795728e-05
2427,7.384685298795728e-05
2428,7.384685298795728e-05
2429,7.384685298795728e-05
2430,7.384685298795728e-05
2431,7.384685298795728e-05
2432,7.384685298795728e-05
2433,7.384685298795728e-05
2434,7.384685298795728e-05
2435,7.384685298795728e-05
2436,7.384685298795728e-05
2437,7.384685298795728e-05
2438,7.384685298795728e-05
2439,7.384685298795728e-05
2440,7.384685298795728e-05
2441,7.384685298795728e-05
2442,7.384685298795728e-05
2443,7.384685298795728e-05
2444,7.384685298795728e-05
2445,7.384685298795728e-05
2446,7.384685298795728e-05
2447,7.384685298795728e-05
2448,7.384685298795728e-05
2449,7.384685298795728e-05
2450,7.384685298795728e-05
2451,7.384685298795728e-05
2452,7.384685298795728e-05
2453,7.384685298795728e-05
